عنوان,دسته,لینک,توضیح
پوشه اصلی رساله,پوشه,,پوشه مرکزی فایل‌های رساله
نسخه جاری فصل دوم,فصل‌ها,,آخرین نسخه قابل ویرایش فصل دوم
نسخه جاری فصل سوم,فصل‌ها,,آخرین نسخه قابل ویرایش فصل سوم
جدول مرور منابع,منابع,,جدول مقایسه و یادداشت منابع
راهنمای مصاحبه,ابزار پژوهش,,نسخه اجرایی راهنمای مصاحبه
ماتریس داده‌ها,تحلیل,,جدول کدها، دسته‌ها و مقایسه موارد
مقاله مستخرج,مقاله,,نسخه جاری مقاله مستخرج از رساله
